인문계열,390526,61345,76307,77710,76806,71472,73836,74832,75642,71775,70574,69545,61694,66235,66813
사회계열,870835,314460,119866,118744,118858,113739,119205,111203,106140,101828,99964,97663,106727,103318,100769
교육계열,129496,58281,30256,30077,29687,28988,29535,29081,29123,27713,27510,27389,27082,26852,26451
공학계열,677179,253547,89244,89954,90343,90065,92995,92783,91391,97014,98023,99414,94920,96031,94815
자연계열,317873,88123,52305,51783,51824,51184,51126,49935,48147,46682,46413,45446,45710,44681,43653
의약계열,144964,273919,20499,22706,24588,24070,26104,26409,25850,26419,26190,27095,27305,26688,28384
예체능계열,265039,244520,47756,47777,47470,47208,46860,44846,43043,41517,40386,39904,40153,42030,42979
